Pharmacy Name,Pharmacy_url,Street Address,City,State,State_ab,Zip Code,Phone,Conditions Served,Pharmacy Contact,Contact Email,Accreditation,Company Type,Ownership,Patient Services,Payer Services,Pharmaceutical Services,Pharmacy Locations,Limited Distribution Drugs,
ASAP Pharmacy,http://asappharmacy.com,1340 East Wilson Avenue,Glendale,California,CA,91206,818-543-1800,"Pain Management, HRT, Dermatology",Gilbert Russell,,,Private,Independent,"Counseling and Education, Delivery, Refills",MTM Services,,,Hemlimbra,
ASPcares,https://aspcares.com,13988 Diplomat Dr. Ste 100,Farmers Branch,Texas,TX,75234,214-919-2520,"Dermatology, Gastroenterology, Hemophilia, Hepatitis, HIV, Multiple Sclerosis, Oncology, Pulmonology, Rheumatoid Arthritis, Transplantation, Urology, Opthalmology, RSV, Wound Care, Pain Management",Tony Pfister,,"URAC, ACHC, JCAHO",Private,Independent,"Delivery, Financial assistance, Counseling and education",Prior authorization assistance,Patient assistance program,"Astoria, NY; Miami, FL; Clawson, MI; Oklahoma City, OK; Columbia, MD; Pasadena, TX; Corpus Christi, TX; Plano, TX; Denton, TX; El Paso, TX; San Antonio, TX; Harlingen, TX; Stone Oak, TX; Las Cruces, NM; Sugar Land, TX; Las Vegas, NV; Tyler, TX; McAllen, TX",,
AspireRx,http://www.aspirerx.com,121 E Broadway ,Mt. Pleasant ,Michigan,MI,48801,888-944-4492,"Inflammation, Migraines",Jason Rutland,,,Subsidiary,Aspire Health,Counseling and education,,,"Nashville, TN",,
Aurora Specialty Pharmacy,http://www.aurorahealthcare.org/,12500 W Bluemound Rd Ste 201,Elm Grove,Wisconsin,WI,53122,"414-762-6770","Oncology, Crohn's Disease, Hepatitis C, HIV, Multiple Sclerosis, Osteoporosis, Psoriasis, Psoriatic Arthritis, Rheumatoid Arthritis",Jim Motz,james.motz@aurora.org,"URAC, ACHC",Subsidiary,Aurora Health Care,"Delivery, Insurance assistance, Counseling and education",,,,,
Avella Specialty Pharmacy,http://www.avella.com,24416 N 19th Ave.,Phoenix,Arizona,AZ,85085,855-428-3552,"Asthma, Cardiovascular, Dermatology, Fertility, Gastroenterology, Hemophilia, Hepatitis, HIV, Infusion, IVIG, Multiple Sclerosis, Oncology, Ophthalmology, Transplantation, Pain Management, Rheumatoid Arthritis, RSV, Urology",Rebecca Shanahan,rebecca.shanahan@avella.com,"URAC, ACHC",Private,Independent,"Education, Financial Assistance, 24/7 clinical support",Prior authorization,"Adherence programs, Limited distribution drugs","Phoenix, AZ; Scottsdale, AZ; Tucson, AZ; Sacramento, CA; Denver, CO; Columbus, OH; Orlando, FL; St. Louis, MO; Las Vegas, NV; Austin, TX","Calquence, Nucala, Probuphone, Cosentyx, Taltz, Siliq,  Makena, Nutropin AQ, Serostim, Illuvien, Synagis, Actemra, Acthar, Benlysta, Jynarque, Alecensa, Braftovi, Mektovi, Avastin, Bosulif, Cotellic, Erivedge, Exjade, Gazyva, Herceptin, Hycamtin, Ibrance, Imbruvica, Inlyta, Intron-A, Iressa, Jadenu, Jakafi, Kadcyla, Lonsurf, Mekinist, Nexavar, Ninlaro, Odomzo, Perjeta, Pomalyst, Promacta, Revlimid, Rituxan, Rubraca, Stivarga, Sutent, Sylatron, Tafinlar, Tagrisso, Tarceva, Thalomid, Tykerb, Valchlor, Venclexta, Votrient, Xalkori, Xtandi, Zelboraf, Zydelig, Zytiga, Humira, Jetria, Eylea, Fasenra, Nucala, Xolair, Subloca, Probuphine, Olumiant",
Avera McKennan d/b/a Avera Specialty Pharmacy,http://www.avera.org/locations/profile/?id=547,3900 West Avera Drive,Sioux Falls,South Dakota,SD,57108,605-322-8300,"Oncology, Crohn's Disease, IBD, Cystic fibrosis, Growth Hormone, Hepatitis C, HIV, Multiple Sclerosis, Psoriasis, Psoriatic arthritis, Rheumatoid arthritis, Ankylosing spondylitis, Osteoporosis, Osteoarthritis, Transplantation",Brian Lounsbery,brian.lounsbery@avera.org,"URAC, ACHC",Subsidiary,Avera Health,"Insurance benefit investigation, Therapy management, Counseling and education",Prior Authorization assistance,,,,
Avita Specialty Pharmacy,http://www.avitapharmacy.com/,5551 Corporate Blvd #102,Baton Rouge,Louisiana,LA,70808,225-924-1930,"HIV, Hepatitis C, Oncology, Transplantation, Rheumatoid Arthritis, Osteoporosis, Gastroenterology, Dermatology, Behavioral Health, Crohn's Disease, Cystic Fibrosis, Hemophilia, Multiple Sclerosis, Psoriasis, Ulcerative Colitis",Jerry Purcell,erry.purcell@avitadrugs.com,"URAC, ACHC, VIPPS",Subsidiary,Long's Drugs,"Copay assistance, refill reminders, 24/7 pharmacist, Counseling and education",,"Adherence programs, Prior authorization","Baton Rouge, LA; New Orleans, LA (2); Dallas, TX; San Antonio, TX; Houston, TX; Salisbury, NC; Austin, TX; Decatur, GA; Greenville, SC; Rock Hill, SC",EGRIFTA,
Bank's Apothecary,https://banksapothecary.com,3800 Horizon Blvd.,Trevose,Pennsylvania,PA,19053,215-494-9403,"Oncology, Hepatitis, Crohn's Disease, Behavioral Health, Rheumatoid Arthritis, Osteoporosis, Multiple Sclerosis",Keishia Whitman,Keishia@banksapothecary.com,URAC,Private,Independent,"24/7 support, Delivery, Co-payment assistance, refill reminders",Prior authorization assistance,"REMS assistance, Patient treatment education",,"Zytiga, Promacta, Exjade, Jadenu, Xgeva, Promacta",
Banner Family Pharmacy,https://www.bannerhealth.com/services/pharmacy?,1111 East McDowell Road,Phoenix,Arizona,AZ,85006,602-839-2300,"Crohn's Disease, Ulcerative Colitis, Growth Hormone, Hepatitis, HIV, Multiple Sclerosis, Oncology, Osteoarthritis, Psoriasis, RSV, Rheumatoid Arthritis, Transplantation, Asthma, PAH",Pamela Nenaber,pamela.nenaber.com,URAC,Subsidiary,Banner Health,"Delivery, Financial assistance, Refill reminders, Therapy management programs",,Manufacturer copay assistance,"Mesa, AZ; Sun City West, AZ; Tucson, AZ; Casa Grande, AZ; Loveland, CO",,
Baptist Health Corbin Pharmacy,https://www.baptisthealth.com/corbin/pages/services/pharmacy.aspx,1 Trillium Way,Corbin,Kentucky,KY,40701,606-526-8334,"Crohn's Disease, Ulcerative Colitis, Growth Hormone, Hepatitis, HIV, Multiple Sclerosis, Oncology, Osteoarthritis, Psoriasis, RSV, Rheumatoid Arthritis, Transplantation, Asthma, PAH",Cliff Niemeier,cliff.Niemeier@bhsi.com,,Subsidiary,Baptist Health,"Co-pay assistance, Counseling and education",,,,,
Baptist Specialty Pharmacy,https://www.baptistonline.org/services/specialty-pharmacy,6025 Walnut GroveRoad #108,Memphis,Tennessee,TN,38120,901-226-4700,"Bleeding Disorders Disorders, Oncology, Crohn's Disease, Hepatitis, HIV, Ulcerative Colitis",Susan Breeden,susan.breeden@bmhcc.org,,Subsidiary,Baptist Memorial Health Care,"Counseling and education, 24X7 support, Refill reminders",,,,,
Barnes Precision Specialty Pharmacy,https://www.barneshc.com/services/pharmacy-services/precision-specialty-pharmacy,200 Patterson Street,Valdosta,Georgia,GA,31601,800-422-5059,"Immunology, Alpha-1, Rheumatoid Arthritis, Crohn's Disease, Ulcerative Colitis",Karen Butterton,karen.butterton@barneshc.com,"URAC, ACHC",Subsidiary,Barnes Healthcare Services,"Reimbursement assistance, Patient education program, Therapy management program, Education and counseling, Pharmacist 24x7",,,,,
Barney's Pharmacy,http://www.barneysrx.com,2604 Peach Orchard Road,Augusta,Georgia,GA,30906,706-798-5645,"HIV, Hepatitis C, Crohn's Disease, Fertility, Multiple Sclerosis, Oncology, Pulmonary, Respiratory Disorders, Transplantation, Renal disease, Hepatitis B, IBD, Osteoarthritis, Osteoporosis, Psoriasis, PAH, Respiratory, Rheumatoid arthritis",Barry Bryant,augusta@barneysrx.com ,,Private,Independent,"Counseling and education, Refill reminders and delivery, ",,Patient assistance programs,"Augusta, GA (4); Wrens, GA; Louisville, GA; Grovetown, GA; Serenity, GA",Cimzia,
Barron Pharmacy,http://www.barronpharmacy.com,"23632 Mercantile Road, Suite F",Beachwood,Ohio,OH,44122,216-360-0500,Fertility,Marshall Barron,marshall@barronpharmacy.com,,Private,Independent,"DesignRx program, Counseling and education",,,,"Cetrotide, chorionic gonadotropin, Follistim, Gonal-F, Leoprolide, Lovenox, Menopur, Pregnyl, Ovidrel, Novarel, GANIRELIX ACETATE",
Bartell Drugs,https://www.bartelldrugs.com/,"4025 Delridge Way SW, #400",Seattle,Washington,WA,98106,877-227-8355,"Oncology, HIV, Rheumatoid Arthritis, Anemia, Crohn's Disease, Cystic Fibrosis, Hepatitis B, Hepatitis C, Multiple Sclerosis, Osteoporosis, Psoriasis",Kathi Lentzsch,kathil@bartelldrugs.com,,Private,Independent,"Counseling and education, Renewals, Payment assistance options, Wellness calls, 24x7 support",,,65 Washington State locations,,
Baystate Specialty Pharmacy,https://www.baystatehealth.org/services/pharmacy,298 Carew Street,Springfield,Massachusetts,MA,01104,855-865-5432,"Fertility, Immunology, Multiple Sclerosis, Rheumatoid Arthritis, Oncology, Transplantation, Hemophilia, Ankylosing Spondylitis, Crohn's Disease, Cystic Fibrosis, Hepatitis C, HIV, Psoriasis, Psoriatic Arthritis",Gary Kerr,gary.kerr@baystatehealth.org,,Subsidiary,Baystate Health,"Delivery and refill reminders, Medication adherence porgrams, Help obtaining financial assistance, On-call pharmacist support",,,,,
Beaumont Specialty Pharmacy,https://www.beaumont.org/services/pharmacy/specialty-pharmacy,27027Mound Road,Warren,Michigan,MI,48092,844-874-3965,"Hepatitis C, Hepatitis B, HIV, Rheumatoid Arthritis, Ulcerative colitis, Crohn's Disease, Multiple Sclerosis, Hyperlipidemia, Psoriatric arthritis",Scott Sterett,scott.sterret@beaumont.org,,Subsidiary,Beaumont Health System,"Counseling and education, Delivery, Refill reminders, 24x7 support","Prior authorization, Adherence support",,,,
Benevere Specialty Pharmacy,https://www.beneverepharmacy.com/,1162 West Poplar Avenue,Collierville,Tennessee,TN,38017,901-861-3000,"Asthma, Crohn's Disease, Dermatology, Gaucher's Disease, Growth Hormone, Hepatitis, Hemophilia, Rheumatoid Arthritis, Multiple Sclerosis, Oncology, Osteoarthritis, Psoriasis, PAH, Transplantation, Ulcerative Colitis",Brett Wright,brett@beneverepharmacy.com,"URAC, ACHC",Private,Independent,"24x7 customer support, Financial assistance options, Counseling and education","Patient insurance authorization, Patient compliance monitoring","Directly bill co-pay assistance foundations, Compliance management & data collection, Inventory management",,,
Benzer Specialty Pharmacy,http://benzerspecialtypharmacy.com/,5908 Breckenridge Parkway,Tampa,Florida,FL,33619,813-304-2221,"Hepatitis C, Multiple Sclerosis, HIV, Rheumatoid Arthritis, Oncology, Psoriasis, Dermatology",Mike LaBrecque,,URAC,Private,Independent,"Refills, specialty care management programs, adherence, counseling, reimbursement support",Clinical drug  management,"Reimbursement, shipping, managed care support, market support, clinical training, supplies","Tampa, FL; Auburndale, FL; Warren, MI; Westland, MI","Puraxin, Ceprotin, Cosenytx, Aralast",
Bergen Medical Pharmacy ,http://www.bergenrx.com,"90 Bergen Street, Suite 1600",Newark,New Jersey,NJ,07103,973-972-1960,"Transplantation, HIV, Hepatitis, Fertility, Oncology",Abhijeet Jatania,aj@bergenrx.com,"URAC,  ACHC",Private,Independent,"Insurance and billing, Financial assistance, Delivery",,"Therapy management, Triple C packaging","Newark, NJ (4); Elizabeth, NJ (2)",,
Berkshire Health System Specialty Pharmacy,http://www.berkshirehealthsystems.org/specialty-pharmacy,725 North Street,Pittsfield,Massachusetts,MA,01201,413-447-2000,"Fertility, Immunology, Multiple Sclerosis, Rheumatoid Arthritis, Oncology, Transplantation, Hemophilia, Ankylosing Spondylitis, Crohn's Disease, Cystic Fibrosis, Hepatitis C, HIV, Psoriasis, Psoriatic Arthritis",Preston Keith,pkeith@bhs1.org,"URAC, ACHC",Subsidiary,Berkshire Health System,Counseling and education,,,,,
Besscription,http://wwww.besscription.com,460 Glen Cove Ave,Sea Cliff,New York,NY,11579,516-945-3945,Fertility,Elizabeth Lempert,info@besscription.com,,Private,Independent,"Counseling and education, Delivery",,,,"Cetrotide, Enoxaparin, Gonal-F, Lovenox, Menopur, Novarel, Omnitrope, Ovidrel",
Best Care Pharmacy,http://bestcarepharmacy.com/,5757 West Thunderbird Road,Glendale,Arizona,AZ,85306,602-439-3500,"Oncology, Neurology, IVIG, ",Maudlyn Mary Aladi,,,Private,Independent,Counseling and education,,,,,
Better Living Now,https://www.betterlivingnow.com/home/services/public-access-specialty-pharmacy.cfm,185 Oser Avenue,Hauppage,New York,NY,11788,800-854-5729,"Diabetes, Asthma, Dermatology, Urology",Daniel Pope,dpope@betterlivingnow.com,,Private,Independent,"Delivery, Counseling and education",,,,"Avastin, Herceptin, Rituxan",
Billings Clinic Pharmacy,http://www.billingsclinic.com/services-specialties/pharmacy-services/,2800 10th Avenue North,Billings,Montana,MT,59101,406-238-2084,"Hepatitis C, HIV, Rheumatoid Arthritis, Ulcerative colitis, Crohn's Disease, Multiple Sclerosis, Hyperlipidemia",Kyle Townsend,ktownsend@billingsclinic.org,,Subsidiary,Billings Clinic,,Education and counseling,Data aggregation,,,
BioTek reMEDys,http://www.biotekrx.com/,2 Penns Way #404,New Castle,Delaware,DE,19720,877-246-9104,"Hepatitis, Transplantation, Multiple Sclerosis, Huntington's Disease",Chai Gadde,Cgadde@biotekrx.com,URAC,Private,Independent,"Delivery, auto-refill, education and counseling, 24x7 help, financial assistance","Prior authorizations, formulary, evidence-based proptocols and pathways, drug waste management, customized reporting","Logistics, data collection and reporting, compliance and adherence, reimbursement and managed care contracting","Houston, TX",Hemlimbra,
BioCureRx,http://www.biocurerx.com/,8700 Commerce Park Dr. Ste 241,Houston,Texas,TX,77036,713-360-2100,"Hepatology, Gastroenterology, Oncology, Rheumatoid Arthritis, Immunology, Dermatology, Neurology, Transplantation",Andrew Maslaveckas,andrew.Maslaveckas@biocurerx.com,ACHC,Private,Independent,"Reimbursement and financial assistance, Education, Prior Authorization",,"Reimbursement and financial assistance, Education, Prior Authorization",,"Cosentyx, Avastin, Rituxan, Xeljanz. Krystexxa",
BiologicTx,http://biologictx.com/,40-D Commerce Way,Totowa,New Jersey,NJ,07512,877-567-8087,"Transplantation, Neurology, Gastroenterology, Hematology, Immunology",Sal Rafanelli,SRafanelli@BiologicTx.com email,"URAC, JACHO",Subsidiary,Matrix Health,"Prescription Refills and Supply Orders, Education on Insurance and Payments, Personalized Care Plan, ",,,"Los Angeles, CA; Miami, FL; Memphis, TN; Chicago, IL","Soliris, Nulojix, Hizentra,  Envarsus® XR ",
Biologics,http://www.biologicsinc.com,"13000 Weston Parkway, Suite 105",Cary,North Carolina,NC,27513,800-850-4306,Oncology,Stuart Frantz,sfrantz@biologicsinc.com,URAC,Subsidiary,McKesson Specialty Health,"Oncology-certified nurses, Utilization Management, Financial assistance","Specialty cancer case management, Claim integrity","Reporting, Consulting services, Disease-specific programs, Prior Authorization, Access Services",,"Farydak, Tarceva, Imbruvica, Xalkori, Inlyta, Nexavar, Cabometyxtm,  Nerlynx, Xermelo, Lenvima, Tagrisso, Ibrance, Inlyta, Xalkori, Bosulif, Sutent, REVLIMID, Iclusig, VENCLEXTA, Lonsurf, Xermelo, Imfinzi, ",
BioMatrix Specialty Pharmacy,http://biomatrixsprx.com/,3300 Corporate Avenue,Weston,Florida,FL,33331,954-385-0026,"Hemophilia, Transplantation, Neurology, Oncology, von Willebrand Disease, Bleeding Disorders",Bruce Greenberg,bruce.greenberg@biomatrixsprx.com,URAC,Subsidiary,Acorn,"Counseling and education, Regional care coordinators, Billing experts, Registered pharmacists",,,,"Vonvendi, Hemlibra",
BioMed Specialty Pharmacy,http://www.biomedpharmacy.com,23815 Northwestern Highway,Southfield,Michigan,MI,48075,855-246-6338 ,"Oncology, Dermatology, HIV, Multiple Sclerosis, Hepatitis C, Crohn's Disease, Rheumatoid Arthritis, Psoriasis, Fertility, Obesity, Growth Hormone",Mohamed Sohoubah,msohoubah@biomedpharmacy.com,"ICAP, NCPA",Private,Independent,,,,"Southfield, MI; Cincinnati, OH; Lansing, OH",,
BioPlus Specialty Pharmacy,http://www.bioplusrx.com,376 Northlake Blvd.,Altamonte Springs,Florida,FL,32701,888-514-8082,"Hepatitis C, Crohn's Disease, Oncology, HIV, IVIG, Hemophilia, Psoriasis, Psoriatic Arthritis, Rheumatoid Arthritis, Multiple Sclerosis, Growth Hormone",Stephen Vogt,svogt@bioplusrx.com,"ACHC, URAC",Private,Independent,"Co-pay and financial assistance, benefits verification, 24/7 pharmacists, Delivery, Dose reminders","Disease Therapy Management Services, Partial Fill Dosing, Benefit Coordination, Formulary support services, Real-time reporting","Limited Distribution Drugs, National sales force, Disease Therapy Management Services, Pre and post-launch market research, Benefits investigation, Financial assistance and support, Dedicated brand support teams, Marketing support",,"Zinbryta, Ibrance, Inlyta, Xalkori, Bosulif, Sutent, Tarceva, REVLIMID, Cosentyx, Hemlimbra",
BioRx,http://www.biorx.net,"200 West Lexington Ave., Suite 203",High Point,North Carolina,NC,27262,866-442-4679,"Hemophilia, Immunology, Oncology, Hepatitis, Multiple Sclerosis, HIV",Eric Hill,ehill@biorx.net,URAC,Subsidiary,Diplomat Specialty Infusion,,,,"Cincinnati, OH; Woburn, MA; Greensboro, NC; Urbandale, IA; Savage, MN; Scottsdale, AZ","Corifact, Glassia, Zemaira",
"BioScrip, Inc.",http://www.bioscrip.com,"160o Broadway, Suite 700",Denver,Colorado,CO,80202,720-697-5200,"Gastroenterology, Oncology, Multiple Sclerosis, Transplantation, Hemophilia, Immunology",Dan Greenleaf,daniel.greenleaf@bioscrip.com,"URAC, ACHC",Public,,"Infusion therapy, Education and counseling, 24x7 support","Communication and follow-up, Disease specific risk assessment, Medication review and reconciliation","Outcomes data reporting, Pay for performance models","Birmingham, AL; Burbank, CA; Irvine, CA; Ontario, CA; Vernon, CT; Cromwell, CT (2); Tampa, FL; Melbourne, FL; Jacksonville, FL; Albany, GA; Augusta, GA; Savannah, GA; Norcross, GA; Brunswick, GA; Silvis, IL; Elmhurst, IL; Lexington, KY; Hammond, LA; Monroe, LA; Metairie, LA; Baton Rouge, LA; Houma, LA; Lake Charles, LA; Shreveport, LA; Covington, LA; Alexandria, LA; Lafayette, LA; Southborough, MA; Falmouth, MA; Canton, MA; Columbia, MD; Auburn, ME; Eagan, MN; Chesterfield, MO; Peal, MS; Fayetteville, NC; Durham, NC; Charlotte, NC; Omaha, NE; Bedford, NH; Morris Plains, NJ; Norwood, NJ; Livingston, NJ; Somers Point, NJ; Lake Success, NY; Canfield, OH; Cincinnati, OH; Sylvania, OH; Columbus, OH; Horsham, PA; Dunmore, PA; York, PA; West Chester, PA; Smithfield, RI; Mt. Pleasant, SC; Duncan, SC; Knoxville, TN; Memphis, TN; Richardson, TX; Austin, TX; Houston, TX; Richmond, VA; Ashland, VA; Norfolk, VA; Annandale, VA; Newport News, VA; Roanoke, VA; Fredericksburg, VA; Chantilly, VA; Fairfax, VA; Rutland, VT; Fairmont, WV; Charleston, WV","Eylea, Makena, Revlimid, Xiaflex, Radicava, Exjade, Hemlimbra",
Bleeding Disorders Resource Network,http://www.mybdrn.com/,"1 South Corporate Drive 2nd Fl, Suite D",Riverdale,New Jersey,NJ,07457,888-692-3761,Hemophilia,Pete Vento,pvento@mybdrn.com,"URAC, CHAP",Private,Independent,"Education and counseling, Clinical outcomes monitoring, clinical waste disposal, 24x7 customer service, Insurance and reimbursement assistance, Product packaging, Delivery",,,,Hemlimbra,
Blount Specialty Pharmacy ,http://www.blountdiscountpharmacy.com,129 Gill Street,Alcoa,Tennessee,TN,37701,865-984-7704,"Hepatitis C, HIV, Rheumatoid Arthritis, Crohn's Disease, Oncology, Immunology, Dermatology",Belinda Ellis,belinda@blountdiscountpharmacy.com,"URAC, CPPA",Private,Independent,"Refill reminder, Co-pay assistance programs",,,,,
Boothwyn Pharmacy,www.boothwynpharmacy.com,2341 Chichester Ave,Boothwyn,Pennsylvania,PA,19061,800-476-7496,"Crohn's Disease, Cystic Fibrosis, ERT, Growth Hormone, Hematopoietics, Hepatitis C, IGT, Fertility, Multiple Sclerosis, Neurology, Oncology, Injectable Implant, Ophthalmology, Oncology, Osteoarthritis, Psoriasis, PAH, Rheumatoid Arthritis, RSV, Transplantation",Zachary Klishevich,,"URAC, ACHC",Private,Independent,"Counseling and education, Delivery and refill, Insurance benefit support",Prior Authorization support,,"Kennett Square, PA",,
